;Switch;Alternar Deck;Foco;Maximizar/Restaurar;Fechar;Abrir
P3.1;sutil mas ainda visivel um pouco mais presente q P3;definitivamente a unica coisa que o P3.1 eh superior ao P3;muito sutil podia ser mais presente;prefiro a do P3;prefiro p3 pois a velocidade parece mais consistente;gosto mais do P3 por harmoniza mais com as outras na velocidade
P3;sutil mas ainda visivel;muito seco quase nao da pra ver;muito sutil poder;eh um crescendo muito bem feito gostei;sauve app some;sauve app surge
;;;;;;
P2.2;boa animacao janelas trocam rapido;janeas movendo rapido;Tremidinha sutil balanca de um lado para o outro;"janela expande e contrai em um fade, mas fechar eh um pouco estranho pq ela contrai ocupando a tela toda e derrepente bruscamente cai no tamanho main ou no tamanho deck.";Janelas fecham rapido saindo com animacao no sentido <-- da esquerda pra direita;fade
P4.1;janelas movendo excelente;animacao do tipo surge e some mas muito boa;animacao inexistente nao da nem pra ver pessimo;excelente metafora;"o programa fecha indo para o lado achei bem interessante principalnmente quando temos mais de um mas quando temos apenas um deveriamos equalizar com a animacao de abertura, que ẽ a unica que surge do centro e nao pelos lados";"quando nao temos nada no deck o programa surge, depois ele vai aparecendo numa animacao que surge de um lado para o outro bem interessante mas acho que o abrir quando nao temos nada deveria ser repensado pois o abrir quando nem tem nenhuma janela ela surge do centro pra fora... num fade e nao do lado"
P5.1;mais marcante que P3 e P3.1 gostei;a janela cresce um pouco e volta eh visivel e interessante;animacao bem marcante estilo janela cresce e volta com sombra gostei;a janela cresce um pouco a mais depois volta o q faz ela balancar muito nao gostei ;animacao ok;animacao ok
;;;;;;
P6;janelas trocam rapido mais q todos um pouco seco;animacao sutil de janela indo para os lados bem rapido;crescidinha bem sutil;bem rapido cresce e volta;animacao de crescimento surgimento bem rapido;animacao de crescimento surgimento bem rapido
P7;igual ou talvez melhor q P6;igual ou talvez melhor q P6;igual ao P6;um pouco melhor que o P6 ;um pouco melhor que o P6 ;um pouco melhor que o P6 
P1.1;inexistente;inexistente;;fade rapido sutil demais;fade rapido sutil demais;fade rapido sutil demais
;;;;;;
2.3;janelas movendo;janelas movendo sutil;a janela da uma movida para o lado combina bem com a metafora de mover janelas;"ponto mais fraco, elas crescem e nao combina com a metafora de mover";fecha movendo para os lados bem rapido harmoniza com o resto;inconsistente com o fechar elas abrem com animacao de surgir na main e nao com animacao para os lados
3.2;"metafora de surgimento muito sutil, talvez seja o ponto fraco ainda pois nao lembra uma troca, e eh tao rapida que sei la... mas eh consistente";baseado em surgimento de janelas elegante consistente;leve crescidinha bem sutil (talvez pudesse ser mais marcante);sutil nao incomoda eh bem executado;combina com o resto;combina com o resto
5.2;;;;;;
P8;animacao de troca de janelas eh bem obvia na proposta talvez poderia ser trocada por uma mais rapida;simples parece q nem tem animacao;uma leve crescidinha nao sei talvez combine com a sutileza;surge e volta combina com o foco;surgimento rapido combina;surgimento rapido combina
